log_AUROC:{"Ats": 0.6782362038588121, "Cay": 0.8318060543968209, "Con": 0.7210948432830548, "Eda": 0.8147915223160207, "Efn": 0.816779306981305, "Ema": 0.7939497880283919, "Fis": 0.6982328529618415, "Hea": 0.6108598864765847, "Inn": 0.7123751536965198, "Mas": 0.765364274746046, "Noe": 0.5978800127355144, "Plg": 0.5125034075689514, "Pna": 0.7006457362947995, "Pnx": 0.8345534727930388}
log_acc:{"Ats": 0.6654666546665466, "Cay": 0.936639366393664, "Con": 0.6697866978669786, "Eda": 0.8895688956889569, "Efn": 0.8073080730807308, "Ema": 0.9189091890918909, "Fis": 0.921429214292143, "Hea": 0.990909909099091, "Inn": 0.6642066420664207, "Mas": 0.8502385023850239, "Noe": 0.8287282872828728, "Plg": 0.3200432004320043, "Pna": 0.8791287912879129, "Pnx": 0.8494284942849428}
log_dpd_age:{"Ats": 0.27142857142857146, "Cay": 0.04312440624717514, "Con": 0.09847521318109553, "Eda": 0.06791901388990983, "Efn": 0.3149732620320856, "Ema": 0.04429785536771699, "Fis": 0.05966386554621849, "Hea": 0.00794912559618442, "Inn": 0.11380876674994322, "Mas": 0.11226733843527262, "Noe": 0.11955941459822662, "Plg": 0.24453781512605044, "Pna": 0.07852357131704375, "Pnx": 0.05787132206301965}
log_dpd_gender:{"Ats": 0.029508746919778117, "Cay": 0.012989862216650098, "Con": 0.03370387686007792, "Eda": 0.022336605455332698, "Efn": 0.0009658858158856087, "Ema": 0.022427629248952342, "Fis": 0.004438126793010352, "Hea": 0.000539741088320487, "Inn": 0.02795880843252424, "Mas": 0.04317525267771663, "Noe": 0.05055188092834133, "Plg": 0.014114889632149796, "Pna": 0.03561637678755894, "Pnx": 0.02122838243250119}
log_AUROC:{"Ats": 0.676174136091419, "Cay": 0.8329095527212963, "Con": 0.7195424859285078, "Eda": 0.8152107872943151, "Efn": 0.8170110436275767, "Ema": 0.7943137582979376, "Fis": 0.696996962084182, "Hea": 0.8263654435381191, "Inn": 0.7129658547361554, "Mas": 0.6368721695988766, "Noe": 0.584707470967155, "Plg": 0.498885971878173, "Pna": 0.7008375872436118, "Pnx": 0.8362356413686425}
log_acc:{"Ats": 0.6571865718657186, "Cay": 0.9351993519935199, "Con": 0.6729367293672937, "Eda": 0.8837188371883719, "Efn": 0.8048780487804879, "Ema": 0.9109891098910989, "Fis": 0.919449194491945, "Hea": 0.992529925299253, "Inn": 0.6458464584645847, "Mas": 0.8471784717847178, "Noe": 0.8097380973809738, "Plg": 0.14337143371433714, "Pna": 0.9212492124921249, "Pnx": 0.8455584555845559}
log_dpd_age:{"Ats": 0.2680672268907563, "Cay": 0.04367632987840965, "Con": 0.1080141638965168, "Eda": 0.07402907108789462, "Efn": 0.3099312452253629, "Ema": 0.05712269505722088, "Fis": 0.042169595110771584, "Hea": 0.045454545454545456, "Inn": 0.11562570974335679, "Mas": 0.11127640245287304, "Noe": 0.11334628432253763, "Plg": 0.19266615737203974, "Pna": 0.059822661307642744, "Pnx": 0.07301567821311325}
log_dpd_gender:{"Ats": 0.028365448061456577, "Cay": 0.012800079274055569, "Con": 0.034797796143911985, "Eda": 0.02648232247909603, "Efn": 0.0022465539158602887, "Ema": 0.02233503837903228, "Fis": 0.005976162168790933, "Hea": 0.0036598566865378612, "Inn": 0.02841286045505631, "Mas": 0.05434377212870112, "Noe": 0.06404727529109443, "Plg": 0.014718847506738353, "Pna": 0.029511214231400094, "Pnx": 0.020843481819480952}
log_AUROC:{"Ats": 0.6748150734374296, "Cay": 0.830520838790673, "Con": 0.7192568417634204, "Eda": 0.8150564204810588, "Efn": 0.8171512591042727, "Ema": 0.7929879025999027, "Fis": 0.6919146451805311, "Hea": 0.8223475607251699, "Inn": 0.7132612273118705, "Mas": 0.6402154562509088, "Noe": 0.5826432738790237, "Plg": 0.5026256059546527, "Pna": 0.7000811116669661, "Pnx": 0.8365923285323824}
log_acc:{"Ats": 0.6748267482674827, "Cay": 0.936729367293673, "Con": 0.6681666816668167, "Eda": 0.8893888938889389, "Efn": 0.8053280532805328, "Ema": 0.91179911799118, "Fis": 0.8771487714877149, "Hea": 0.993339933399334, "Inn": 0.6651966519665197, "Mas": 0.8008280082800828, "Noe": 0.6494464944649446, "Plg": 0.3087930879308793, "Pna": 0.8681486814868149, "Pnx": 0.8461884618846188}
log_dpd_age:{"Ats": 0.2690603514132926, "Cay": 0.04292144298352586, "Con": 0.1020523196993785, "Eda": 0.07605042016806722, "Efn": 0.3099312452253629, "Ema": 0.056447703494615406, "Fis": 0.07792207792207792, "Hea": 0.045454545454545456, "Inn": 0.11830570065864182, "Mas": 0.12406417112299464, "Noe": 0.1372823048439997, "Plg": 0.14742466907607377, "Pna": 0.08612151887052127, "Pnx": 0.07132819930659956}
